Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
9/18/25,Butch Cassidy and the Sundance Kid,1969,https://boxd.it/b6bOKH,4,,,9/16/25
9/21/25,Dracula,2025,https://boxd.it/b7QLPZ,,,,9/20/25
9/22/25,Batman,1989,https://boxd.it/b8u4az,3,,,9/20/25
9/22/25,Charade,1963,https://boxd.it/b8vLzJ,4,,,9/20/25
9/22/25,This Is Spinal Tap,1984,https://boxd.it/b8y1t7,4,,,9/21/25
9/22/25,Satan Met a Lady,1936,https://boxd.it/b8FAl7,2,,,9/21/25
9/22/25,Batman Returns,1992,https://boxd.it/b8QC79,3.5,,,9/21/25
9/23/25,The Usual Suspects,1995,https://boxd.it/b9f8AF,4,,,9/22/25
9/29/25,One Battle After Another,2025,https://boxd.it/bd4Yrz,5,,"ronnie's, imax, w/dad!, 2026 oscars",9/28/25
10/3/25,Frankenstein,1931,https://boxd.it/bfdTyr,3,,,10/1/25
10/3/25,The Mummy,1999,https://boxd.it/bfnTYz,5,Yes,,10/2/25
10/5/25,The Mummy,1959,https://boxd.it/bgnMLn,3.5,,,10/3/25
10/9/25,Friday the 13th,1980,https://boxd.it/bj2HV3,1.5,,,10/4/25
10/9/25,Bride of Frankenstein,1935,https://boxd.it/bj2SSz,4,,,10/4/25
10/16/25,Halloween,1978,https://boxd.it/bnFlhT,3,,,10/14/25
10/17/25,The Invisible Man,1933,https://boxd.it/bobZG9,3.5,,,10/15/25
10/18/25,The Conjuring,2013,https://boxd.it/boFpmx,4,,,10/16/25
10/27/25,Halloweentown,1998,https://boxd.it/buYcY1,2.5,Yes,,10/24/25
10/27/25,Halloweentown II: Kalabar's Revenge,2001,https://boxd.it/buYi3F,2.5,Yes,,10/25/25
10/27/25,Halloweentown High,2004,https://boxd.it/buYnah,1.5,Yes,,10/25/25
10/27/25,House on Haunted Hill,1959,https://boxd.it/bv8Sct,3,,,10/25/25
10/27/25,The Crow,1994,https://boxd.it/bv9hMV,3.5,,,10/26/25
10/28/25,Creature from the Black Lagoon,1954,https://boxd.it/bvU2H1,3.5,,,10/26/25
10/30/25,Elvira: Mistress of the Dark,1988,https://boxd.it/bxcxCV,3.5,,,10/27/25
11/4/25,Bram Stoker's Dracula,1992,https://boxd.it/bAYipb,1.5,,,10/30/25
11/4/25,Death Becomes Her,1992,https://boxd.it/bAYqZr,3,,,10/31/25
11/6/25,Frankenstein,2025,https://boxd.it/bC6p3V,4,,"michigan/state theater, 2026 oscars",11/2/25
11/8/25,The Electric Horseman,1979,https://boxd.it/bDeWtx,4.5,,,11/5/25
11/8/25,A House of Dynamite,2025,https://boxd.it/bDuzZR,,,,11/7/25
11/13/25,The Way We Were,1973,https://boxd.it/bGZ8Kf,3.5,,,11/10/25
11/16/25,The Wedding in Monaco,1956,https://boxd.it/bJhBZR,,,,11/15/25
11/21/25,Waves '98,2015,https://boxd.it/bMi9CJ,4,,,11/18/25
11/21/25,Gaslight,1944,https://boxd.it/bMifcH,4,,,11/18/25
11/21/25,Theeb,2014,https://boxd.it/bMzIOJ,4,,,11/19/25
11/22/25,After the Hunt,2025,https://boxd.it/bN502P,2,,,11/20/25
11/24/25,The Running Man,2025,https://boxd.it/bONq6v,3,,"ronnie's, w/dad!",11/22/25
11/25/25,The Year Without a Santa Claus,1974,https://boxd.it/bPzipZ,2.5,,,11/23/25
11/27/25,Miracle,2004,https://boxd.it/bQSYIr,4.5,Yes,,11/26/25
12/1/25,The Sound of Music,1965,https://boxd.it/bTjpJr,5,,,11/27/25
12/1/25,Bilal: A New Breed of Hero,2015,https://boxd.it/bTDCUH,2.5,,,11/30/25
12/2/25,Samsara,2011,https://boxd.it/bU65Fx,3.5,,,11/30/25
12/4/25,Frankenstein,1910,https://boxd.it/bVjbch,2.5,,,12/2/25
12/5/25,A Christmas Carol,1910,https://boxd.it/bVPDnr,2.5,,,12/3/25
12/6/25,National Treasure,2004,https://boxd.it/bWwsmj,3.5,Yes,,12/3/25
12/10/25,The Battle of Algiers,1966,https://boxd.it/bZBUCh,5,,on a plane,12/6/25
12/12/25,His Girl Friday,1940,https://boxd.it/c0QTCJ,4.5,,,12/9/25
12/14/25,KPop Demon Hunters,2025,https://boxd.it/c2gHW9,2.5,,2026 oscars,12/11/25
12/17/25,Bugonia,2025,https://boxd.it/c4SrbF,2,,2026 oscars,12/14/25
12/18/25,Wicked: For Good,2025,https://boxd.it/c5JMnt,1.5,,"ronnie's, solo",12/15/25
12/22/25,Wake Up Dead Man,2025,https://boxd.it/c9RXxr,4.5,,,12/19/25
12/23/25,Jay Kelly,2025,https://boxd.it/cbc6wL,3,,,12/21/25
12/24/25,Elio,2025,https://boxd.it/cct39H,3.5,,2026 oscars,12/22/25
12/24/25,Murder in Monaco,2025,https://boxd.it/ccvHhl,,,,12/23/25
12/25/25,The Bishop's Wife,1947,https://boxd.it/cdweUf,3,,,12/24/25
12/25/25,It's a Wonderful Life,1946,https://boxd.it/cdAW4b,5,Yes,,12/24/25
12/27/25,White Christmas,1954,https://boxd.it/cfvaZB,3,,,12/25/25
12/27/25,Santa Claus,1898,https://boxd.it/cfy0Ct,3,,,12/26/25
12/27/25,Avatar,2009,https://boxd.it/cfA0uX,3,,,12/26/25
12/28/25,Marty Supreme,2025,https://boxd.it/cgYawh,,,"des peres, w/dad!, 2026 oscars",12/26/25
12/31/25,Weapons,2025,https://boxd.it/ckkrDZ,3.5,,2026 oscars,12/28/25
12/30/25,The Hilarious Posters,1906,https://boxd.it/cjh9k1,3.5,,,12/29/25
12/31/25,No Other Choice,2025,https://boxd.it/cko3VD,5,,"amc river east, solo",12/29/25
12/31/25,Avatar: The Way of Water,2022,https://boxd.it/ckwlYh,3.5,,,12/30/25
12/31/25,The Princess Bride,1987,https://boxd.it/ckY0ND,5,Yes,,12/30/25
1/1/26,Hedda,2025,https://boxd.it/cljq4h,3,,,12/30/25
1/1/26,What's a Nice Girl Like You Doing in a Place Like This?,1963,https://boxd.it/cljWMb,3.5,,,12/30/25
1/1/26,A Trip to the Moon,1902,https://boxd.it/clvnlj,4,,,12/31/25
1/1/26,The Thin Man,1934,https://boxd.it/clK7Nh,4,,,12/31/25
1/1/26,Bringing Up Baby,1938,https://boxd.it/clKjLx,4,,,12/31/25
1/1/26,Notorious,1946,https://boxd.it/clQb8f,4,,,12/31/25
